CDpto,Dep,CProv,Prov,CDist,Dist,Codigo,Fenomeno,Afectado,Fecha,lon,lat
03,APURIMAC,0301,ABANCAY,030101,ABANCAY,00059933,PRECIPITACIONES - NEVADA,250,2013-08-28,-72.8793,-13.6368
03,APURIMAC,0301,ABANCAY,030102,CHACOCHE,00059992,PRECIPITACIONES - NEVADA,0,2013-08-28,-72.993,-13.9422
03,APURIMAC,0301,ABANCAY,030102,CHACOCHE,00071863,PRECIPITACIONES - NEVADA,840,2015-07-14,-72.993,-13.9422
03,APURIMAC,0301,ABANCAY,030103,CIRCA,00059978,PRECIPITACIONES - NEVADA,900,2013-08-28,-72.8788,-13.879
03,APURIMAC,0301,ABANCAY,030103,CIRCA,00071935,PRECIPITACIONES - NEVADA,482,2015-07-08,-72.8788,-13.879
03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,00006091,PRECIPITACIONES - NEVADA,300,2004-06-05,-72.7568,-13.542
03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,00059952,PRECIPITACIONES - NEVADA,5540,2013-08-28,-72.6976,-13.5432
03,APURIMAC,0301,ABANCAY,030104,CURAHUASI,00060705,PRECIPITACIONES - NEVADA,6,2013-08-28,-72.6976,-13.5432
03,APURIMAC,0301,ABANCAY,030106,LAMBRAMA,00059975,PRECIPITACIONES - NEVADA,1503,2013-08-28,-72.7729,-13.8707
03,APURIMAC,0301,ABANCAY,030107,PICHIRHUA,00059931,PRECIPITACIONES - NEVADA,430,2013-08-28,-73.0764,-13.8611
03,APURIMAC,0301,ABANCAY,030108,S. P. DE CACHORA,00059993,PRECIPITACIONES - NEVADA,0,2013-08-28,-72.8163,-13.5146
03,APURIMAC,0301,ABANCAY,030109,TAMBURCO,00059995,PRECIPITACIONES - NEVADA,0,2013-08-28,-72.8739,-13.6228
03,APURIMAC,0301,ABANCAY,030109,TAMBURCO,00093953,PRECIPITACIONES - NEVADA,0,2018-06-04,-72.8683,-13.6059
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00034048,PRECIPITACIONES - NEVADA,0,2009-07-26,-73.3849,-13.6563
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00060370,PRECIPITACIONES - NEVADA,500,2013-08-28,-73.3849,-13.6563
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00071310,PRECIPITACIONES - NEVADA,300,2015-07-03,-73.3849,-13.6563
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00071309,PRECIPITACIONES - NEVADA,1500,2015-07-04,-73.3498,-13.7336
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00072012,PRECIPITACIONES - NEVADA,1800,2015-08-03,-73.3849,-13.6563
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00093937,PRECIPITACIONES - NEVADA,1350,2018-06-04,-73.3498,-13.7336
03,APURIMAC,0302,ANDAHUAYLAS,030201,ANDAHUAYLAS,00095094,PRECIPITACIONES - NEVADA,0,2018-08-07,-73.3701,-13.7441
03,APURIMAC,0302,ANDAHUAYLAS,030203,CHIARA,00060019,PRECIPITACIONES - NEVADA,315,2013-08-28,-73.6698,-13.8684
03,APURIMAC,0302,ANDAHUAYLAS,030203,CHIARA,00071938,PRECIPITACIONES - NEVADA,67,2015-07-02,-73.6698,-13.8684
